code,description
180620,"Chocolate & other food preparations containing cocoa: in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg"
180631,"Chocolate and other food preparations containing cocoa: in blocks, slabs or bars, filled, weighing 2kg or less"
180632,"Chocolate and other food preparations containing cocoa: in blocks, slabs or bars, (not filled), weighing 2kg or less"
180690,Chocolate and other food preparations containing cocoa: n.e.s. in chapter 18
190510,"Food preparations: crispbread, whether or not containing cocoa"
190520,"Food preparations: gingerbread and the like, whether or not containing cocoa"
190530,"Food preparations: sweet biscuits, waffles and wafers, whether or not containing cocoa"
190540,"Food preparations: rusks, toasted bread and similar toasted products, whether or not containing cocoa"
190590,"Food preparations: bakers' wares n.e.s. in heading no. 1605, whether or not containing cocoa: communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products"
210310,Sauces: soya
210500,Ice cream and other edible ice: whether or not containing cocoa
230110,"Flours, meals and pellets: of meat or meat offal, greaves"
230400,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
230610,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of cotton seed oils"
230910,"Dog or cat food: put up for retail sale, used in animal feeding"
230990,"Dog or cat food: (not put up for retail sale), used in animal feeding"
251010,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk: unground"
251020,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk: ground"
251321,"Emery, corundum, garnet and other abrasives: natural, crude or in irregular pieces, whether or not heat-treated"
251329,"Emery, corundum, garnet and other abrasives: natural, in other forms excluding crude or in irregular pieces, whether or not heat-treated"
252330,"Cement: aluminous (""ciment fondu""), whether or not coloured or in the form of clinkers"
260400,Nickel ores and concentrates
260600,Aluminium ores and concentrates
262040,"Ash and residues: (not from the manufacture of iron or steel), containing mainly aluminium"
281810,Aluminium oxide: artificial corundum
281820,Aluminium oxide: other than artificial corundum
281830,Aluminium hydroxide
282540,Nickel oxides and hydroxides
282612,Fluorides: of aluminium
282619,Fluorides: other than of ammonium or sodium or aluminium
282630,Sodium hexafluoroaluminate (synthetic cryolite)
282690,"Fluorides: fluorosilicates, fluoroaluminates and other complex fluorine salts, n.e.s. in heading no. 2826"
282732,Chlorides: of aluminium
282735,Chlorides: of nickel
283322,Sulphates: of aluminium
283324,Sulphates: of nickel
284110,Salts: aluminates
292320,Lecithins and other phosphoaminolipids
381511,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with nickel or nickel compounds as the active substance, n.e.s. or included"
381519,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with an active substance other than nickel or precious metals or their compounds, n.e.s. or included"
410210,"Skins: raw, of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment-dressed or further prepared), with wool on"
410221,"Skins: raw, of sheep or lambs, pickled (but not tanned, parchment-dressed or further preserved), without wool on"
410229,"Skins: raw, of sheep or lambs, fresh or salted, dried, limed or otherwise preserved other than by pickling, (but not tanned, parchment-dressed or further preserved), without wool on"
410511,"Leather: of sheep or lamb, without wool on, tanned or retanned (but not further prepared), vegetable pre-tanned, whether or not split, excluding leather of heading no. 4108 and 4109"
410512,"Leather: of sheep or lamb, without wool on, tanned or retanned (but not further prepared), pre-tanned (not vegetable pre-tanned), whether or not split, excluding leather of heading no. 4108 and 4109"
410519,"Leather: of sheep or lamb, without wool on, tanned or retanned (but not further prepared), whether or not split, n.e.s. in heading no. 4105 (not pre-tanned), excluding leather of heading no. 4108 and 4109"
410520,"Leather: of sheep or lamb, without wool on, parchment-dressed or prepared after tanning, excluding leather of heading no. 4108 and 4109"
430130,"Furskins: raw, of Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws"
430213,"Furskins: tanned or dressed, Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws, not assembled"
430219,"Furskins: tanned or dressed, whole, with or without head, tail or paws, not assembled, n.e.s. in heading no. 4302, excluding goods or heading no. 4303"
440500,Wood: wood wool and wood flour
470610,Pulp: cotton linters pulp
470691,"Pulp: of fibrous cellulosic material (other than wood or cotton linters pulp), mechanical"
470692,"Pulp: of fibrous cellulosic material (other than wood or cotton linters pulp), chemical"
470693,"Pulp: of fibrous cellulosic material (other than wood or cotton linters pulp), semi-chemical"
510111,"Wool: (not carded or combed), greasy (including fleece-washed wool), shorn"
510119,"Wool: (other than shorn), greasy (including fleece-washed wool), not carded or combed"
510121,"Wool: (not carded or combed), degreased, (not carbonised), shorn"
510129,"Wool: (not carded or combed), degreased, (not carbonised), (other than shorn)"
510130,"Wool: (not carded or combed), carbonised"
510210,"Hair: fine animal hair, not carded or combed"
510310,"Wool and hair: noils of wool or of fine animal hair, including yarn waste, but excluding garnetted stock"
510320,"Wool and hair: waste of wool or of fine animal hair, including yarn waste, but excluding garnetted stock and noils of wool or of fine animal hair"
510330,"Wool and hair: waste of coarse animal hair, including yarn waste, but excluding garnetted stock"
510400,Wool and hair: garnetted stock of wool or of fine or coarse animal hair
510510,Wool: carded
510521,"Wool: wool tops and other combed wool, in fragments"
510529,"Wool: wool tops and other combed wool, other than in fragments"
510610,"Yarn: of carded wool, containing 85% or more by weight of wool, not put up for retail sale"
510620,"Yarn: of carded wool, containing less than 85% by weight of wool, not put up for retail sale"
510710,"Yarn: of combed wool, containing 85% or more by weight of wool, not put up for retail sale"
510720,"Yarn: of combed wool, containing less than 85% by weight of wool, not put up for retail sale"
510910,"Yarn: of wool or of fine animal hair, containing 85% or more by weight of wool or fine animal hair, put up for retail sale"
510990,"Yarn: of wool or of fine animal hair, containing less than 85% by weight of wool or fine animal hair, put up for retail sale"
511111,"Fabrics, woven: of carded wool or of carded fine animal hair, containing 85% or more by weight of wool or of fine animal hair, of a weight not exceeding 300g/m2"
511119,"Fabrics, woven: of carded wool or of carded fine animal hair, containing 85% or more by weight of wool or of fine animal hair, of a weight exceeding 300g/m2"
511120,"Fabrics, woven: of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made filaments"
511130,"Fabrics, woven: of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made staple fibres"
511190,"Fabrics, woven: of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with fibres n.e.s. in heading no. 5111"
511211,"Fabrics, woven: of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight not exceeding 200g/m2"
511219,"Fabrics, woven: of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight exceeding 200g/m2"
511220,"Fabrics, woven: of combed wool or combed fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made filaments"
511230,"Fabrics, woven: of combed wool or combed fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made staple fibres"
511290,"Fabrics, woven: of combed wool or combed fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with fibres n.e.s. in heading no. 5112"
520100,Cotton: not carded or combed
520210,Cotton: yarn waste (including thread waste)
520291,Cotton: garnetted stock waste
520299,Cotton: waste other than garnetted stock and yarn (including thread) waste
520300,Cotton: carded or combed
520411,"Cotton: sewing thread, containing 85% or more by weight of cotton, not put up for retail sale"
520419,"Cotton: sewing thread, containing less than 85% by weight of cotton, not put up for retail sale"
520420,"Cotton: sewing thread, put up for retail sale"
520511,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale"
520512,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520513,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520514,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520515,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
520521,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale"
520522,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520523,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520524,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520525,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
520531,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520532,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520533,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520534,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520535,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, less than 125 decitex (exceeding 80 metric number), per single yarn, not for retail sale"
520541,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520542,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520543,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520544,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520545,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, less than 125 decitex (exceeding 80 metric number), per single yarn, not for retail sale"
520611,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more (not exceeding 14 metric number), not for retail sale"
520612,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520613,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520614,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520615,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
520621,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale"
520622,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520623,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520624,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520625,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
520631,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520632,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520633,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520634,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520635,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale"
520641,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520642,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520643,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520644,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520645,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale"
520710,"Cotton yarn: (not sewing thread), containing 85% or more by weight of cotton, put up for retail sale"
520790,"Cotton yarn: (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale"
520811,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, plain weave, weighing not more than 100g/m2"
520812,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520813,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520819,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, of weaves n.e.s. in item no. 5208.1, weighing not more than 200g/m2"
520821,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, plain weave, weighing not more than 100g/m2"
520822,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520823,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520829,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, of weaves n.e.s. in item no. 5208.2, weighing not more than 200g/m2"
520831,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, plain weave, weighing not more than 100g/m2"
520832,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520833,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520839,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, of weaves n.e.s. in item no. 5208.3 weighing not more than 200g/m2"
520841,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing not more than 100g/m2"
520842,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 100g/m2 but not more than 200g/m2"
520843,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520849,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.s. in item no. 5208.4, weighing not more than 200g/m2"
520851,"Fabrics, woven: containing 85% or more by weight of cotton, printed, plain weave, weighing not more than 100g/m2"
520852,"Fabrics, woven: containing 85% or more by weight of cotton, printed, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520853,"Fabrics, woven: containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520859,"Fabrics, woven: containing 85% or more by weight of cotton, printed, of weaves n.e.s. in item no. 5208.5, weighing not more than 200g/m2"
520911,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 200g/m2"
520912,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520919,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, of weaves n.e.s. in item no. 5209.1, weighing more than 200g/m2"
520921,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 200g/m2"
520922,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520929,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, of weaves n.e.s. in item no. 5209.2, weighing more than 200g/m2"
520931,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 200g/m2"
520932,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520939,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, of weaves n.e.s. in item no. 5209.3, weighing more than 200g/m2"
520941,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing more than 200g/m2"
520942,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 200g/m2, denim"
520943,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520949,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.s. in item no. 5209.4, weighing more than 200g/m2"
520951,"Fabrics, woven: containing 85% or more by weight of cotton, printed, plain weave, weighing more than 200g/m2"
520952,"Fabrics, woven: containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520959,"Fabrics, woven: containing 85% or more by weight of cotton, printed, of weaves n.e.s. in item no. 5209.5, weighing more than 200g/m2"
521011,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing 200g/m2 or less"
521012,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, 3-thread or 4-thread twill, including cross twill, weighing 200g/m2 or less"
521019,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.s. in item no. 5210.1, weighing 200g/m2 or less"
521021,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, bleached, plain weave, weighing 200g/m2 or less"
521022,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, bleached, 3-thread or 4-thread twill, including cross twill, weighing 200g/m2 or less"
521029,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, bleached, of weaves n.e.s. in item no. 5210.2"
521031,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, plain weave"
521032,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, 3-thread or 4-thread twill, including cross twill"
521039,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, of weaves n.e.s. in item no. 5210.3"
521041,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, plain weave"
521042,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, 3-thread or 4-thread twill, including cross twill"
521049,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, of weaves n.e.s. in item no. 5210.4"
521051,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, plain weave"
521052,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly of solely with man-made fibres, weighing 200g/m2 or less, printed, 3-thread or 4-thread twill, including cross twill"
521059,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, of weaves n.e.s. in item no. 5210.5"
521111,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing more than 200g/m2"
521112,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, 3- or 4-thread twill, including cross twill, weighing more than 200g/m2"
521119,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.s. in item no. 5211.1, weighing more than 200g/m2"
521121,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, bleached, plain weave"
521122,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, bleached, 3-thread or 4-thread twill, including cross twill"
521129,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, bleached, of weaves n.e.s. in item no. 5211.2"
521131,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, plain weave"
521132,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, 3-thread or 4-thread twill, including cross twill"
521139,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, of weaves n.e.s. in item no. 5211.3"
521141,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, plain weave"
521142,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, denim"
521143,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, 3-thread or 4-thread twill, including cross twill"
521149,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, of weaves n.e.s. in item no. 5211.4"
521151,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, plain weave"
521152,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, 3-thread or 4-thread twill, including cross twill"
521159,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, of weaves n.e.s. in item no. 5211.5"
521211,"Fabrics, woven: of cotton, unbleached, weighing not more than 200g/m2, n.e.s. in chapter 52"
521212,"Fabrics, woven: of cotton, bleached, weighing not more than 200g/m2, n.e.s. in chapter 52"
521213,"Fabrics, woven: of cotton, dyed, weighing not more than 200g/m2, n.e.s. in chapter 52"
521214,"Fabrics, woven: of cotton, of yarns of different colours, weighing not more than 200g/m2, n.e.s. in chapter 52"
521215,"Fabrics, woven: of cotton, printed, weighing not more than 200g/m2, n.e.s. in chapter 52"
521221,"Fabrics, woven: of cotton, unbleached, weighing more than  200g/m2, n.e.s. in chapter 52"
521222,"Fabrics, woven: of cotton, bleached, weighing more than 200g/m2, n.e.s. in chapter 52"
521223,"Fabrics, woven: of cotton, dyed, weighing more than 200g/m2, n.e.s. in chapter 52"
521224,"Fabrics, woven: of cotton, of yarns of different colours, weighing more than 200g/m2, n.e.s. in chapter 52"
521225,"Fabrics, woven: of cotton, printed, weighing more than 200g/m2, n.e.s. in chapter 52"
